,iso_code,week_number,index_med_est_x,length,active_policy,cases_roc,deaths_roc,country,date_start,date_end,domestic_policy,target_country,compliance,week_start,week_end,Anti-Disinformation Measures,Closure and Regulation of Schools,Curfew,Declaration of Emergency,External Border Restrictions,Health Monitoring,Health Resources,Health Testing,Hygiene,Internal Border Restrictions,Lockdown,"New Task Force, Bureau or Administrative Configuration",Other Policy Not Listed Above,Public Awareness Measures,Quarantine,Restriction and Regulation of Businesses,Restriction and Regulation of Government Services,Restrictions of Mass Gatherings,Social Distancing,compliance_ordinal
0,AFG,11.0,52.012428158964006,6.0,1.0,-92.09770114942529,-94.73684210526316,Afghanistan,2020-03-14,2020-04-21,0,Afghanistan,Mandatory (Unspecified/Implied),11,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
1,AFG,12.0,52.681321591992294,15.0,1.0,-52.72727272727273,-66.66666666666667,Afghanistan,2020-03-21,2020-06-30,0,All countries,Mandatory (Unspecified/Implied),12,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2,AFG,13.0,52.7855332838384,8.0,1.0,92.3076923076923,200.0,Afghanistan,2020-03-25,2020-05-24,0,Afghanistan,Mandatory (Unspecified/Implied),13,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
3,AFG,15.0,52.7053813420159,6.0,1.0,-78.55547282204022,-52.63157894736842,Afghanistan,2020-04-11,2020-05-24,0,Afghanistan,Mandatory (Unspecified/Implied),15,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
4,AFG,16.0,52.7107307673841,5.0,1.0,31.25,44.44444444444444,Afghanistan,2020-04-18,2020-05-24,0,Afghanistan,Mandatory (Unspecified/Implied),16,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
5,AFG,17.0,52.79255317421929,20.0,1.0,94.70899470899471,69.23076923076923,Afghanistan,2020-04-23,2020-09-08,0,Afghanistan,Mandatory (Unspecified/Implied),17,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
6,AFG,18.0,52.83073666399879,2.0,1.0,-1.766304347826087,-50.0,Afghanistan,2020-04-29,2020-05-13,1,Afghanistan,Mandatory (Unspecified/Implied),18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
7,AGO,11.0,50.143626212197894,2.0,1.0,24.199288256227756,-77.77777777777777,Angola,2020-03-12,2020-03-26,0,All countries,Mandatory with Legal Penalties (Jail Time),11,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
8,AGO,12.0,51.362396711704704,2.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-20,2020-04-04,0,All countries,Mandatory with Legal Penalties (Jail Time),12,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
9,AGO,12.0,51.362396711704704,2.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-22,2020-05-11,1,Angola,Voluntary/Recommended but No Penalties,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
10,AGO,12.0,51.362396711704704,2.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-22,2020-05-11,0,Angola,Voluntary/Recommended but No Penalties,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
11,AGO,12.0,51.653823513278205,8.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-20,2020-04-04,0,All countries,Mandatory with Legal Penalties (Jail Time),12,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
12,AGO,12.0,51.653823513278205,8.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-22,2020-05-11,1,Angola,Voluntary/Recommended but No Penalties,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
13,AGO,12.0,51.653823513278205,8.0,1.0,-99.14040114613181,-100.0,Angola,2020-03-22,2020-05-11,0,Angola,Voluntary/Recommended but No Penalties,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
14,AGO,15.0,54.1979782113342,6.0,1.0,1915.0,900.0,Angola,2020-04-11,2020-05-24,0,Angola,Mandatory with Legal Penalties (Jail Time),15,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
15,AGO,15.0,54.1979782113342,6.0,1.0,1915.0,900.0,Angola,2020-04-11,2020-04-12,1,Angola,Mandatory with Legal Penalties (Jail Time),15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
16,AGO,15.0,54.1979782113342,6.0,1.0,1915.0,900.0,Angola,2020-04-11,2020-04-25,0,,Mandatory with Legal Penalties (Jail Time),15,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
17,AGO,15.0,54.1979782113342,6.0,1.0,1915.0,900.0,Angola,2020-04-11,2020-04-25,1,Angola,Mandatory with Legal Penalties (Jail Time),15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
